reference,name,designation-date,document-url,documentation-url,geometry,point,notes,organisation,entry_date,start_date,end_date
87_CHW_CA59,"Ledsham",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA60,"Little Barrow",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-LittleBarrowCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA61,"Little Budworth",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/LittlebudworthConservationArea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 23 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA62,"Lower Kinnerton",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/20090319-LowerKinnertonCA-V01.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Satellite Image, could be difficult to processBest Map is shown on page 1 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA63,"Lower Peover",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA64,"Lower Whitley",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA65,"Malpas",,"No Appraisal document","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"",local-authority:CHW,,,
87_CHW_CA66,"Marston - Lion Salt Works",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/MarstonConservationArea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Almost worthless mapBest Map is shown on page 13? of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA67,"Ness",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/NessConservationAreaCharacterApprais.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"Best Map is shown on page 15 of the appraisal document. ",local-authority:CHW,,,
87_CHW_CA68,"Neston",,"https://www.cheshirewestandchester.gov.uk/documents/planning-and-building-consultancy/total-environment/conservation-and-design/conservation-area-appraisals/Nestonconservationarea.pdf","https://www.cheshirewestandchester.gov.uk/residents/planning-and-building-control/total-environment/conservation-areas-and-conservation-area-appraisals",,,"No map",local-authority:CHW,,,
