entity,name,dataset,organisation,website
297,Shropshire Council,local-authority,local-authority:SHR,https://www.shropshire.gov.uk
298,South Kesteven District Council,local-authority,local-authority:SKE,https://www.southkesteven.gov.uk
299,Stockport Metropolitan Borough Council,local-authority,local-authority:SKP,https://www.stockport.gov.uk
300,South Lakeland District Council,local-authority,local-authority:SLA,https://www.southlakeland.gov.uk
301,Salford City Council,local-authority,local-authority:SLF,https://www.salford.gov.uk
302,Slough Borough Council,local-authority,local-authority:SLG,https://www.slough.gov.uk
303,Sunderland City Council,local-authority,local-authority:SND,https://www.sunderland.gov.uk
304,South Norfolk District Council,local-authority,local-authority:SNO,https://www.south-norfolk.gov.uk
305,South Northamptonshire Council,local-authority,local-authority:SNR,https://www.southnorthants.gov.uk
306,Solihull Metropolitan Borough Council,local-authority,local-authority:SOL,https://www.solihull.gov.uk
307,Somerset County Council,local-authority,local-authority:SOM,https://www.somerset.gov.uk
308,Southend-on-Sea Borough Council,local-authority,local-authority:SOS,https://www.southend.gov.uk
309,South Oxfordshire District Council,local-authority,local-authority:SOX,https://www.southoxon.gov.uk
310,Spelthorne Borough Council,local-authority,local-authority:SPE,https://www.spelthorne.gov.uk
311,South Ribble Borough Council,local-authority,local-authority:SRI,https://www.southribble.gov.uk
312,Surrey County Council,local-authority,local-authority:SRY,https://www.surreycc.gov.uk
313,South Somerset District Council,local-authority,local-authority:SSO,https://www.southsomerset.gov.uk
314,South Staffordshire Council,local-authority,local-authority:SST,https://www.sstaffs.gov.uk
315,Stafford Borough Council,local-authority,local-authority:STA,https://www.staffordbc.gov.uk
316,Stoke-on-Trent City Council,local-authority,local-authority:STE,https://www.stoke.gov.uk
317,Staffordshire Moorlands District Council,local-authority,local-authority:STF,https://www.staffsmoorlands.gov.uk
318,Southampton City Council,local-authority,local-authority:STH,https://www.southampton.gov.uk/
319,London Borough of Sutton,local-authority,local-authority:STN,https://www.sutton.gov.uk
320,Stroud District Council,local-authority,local-authority:STO,https://www.stroud.gov.uk
321,Stratford-on-Avon District Council,local-authority,local-authority:STR,https://www.stratford.gov.uk
322,Staffordshire County Council,local-authority,local-authority:STS,https://www.staffordshire.gov.uk
323,Stockton-on-Tees Borough Council,local-authority,local-authority:STT,https://www.stockton.gov.uk
324,Stevenage Borough Council,local-authority,local-authority:STV,https://www.stevenage.gov.uk
325,South Tyneside Council,local-authority,local-authority:STY,https://www.southtyneside.info
10003,Somerset Council,local-authority,local-authority:SUA,https://www.somerset.gov.uk/
326,Suffolk Coastal District Council,local-authority,local-authority:SUF,https://www.suffolkcoastal.gov.uk
327,Surrey Heath Borough Council,local-authority,local-authority:SUR,https://www.surreyheath.gov.uk
328,Swindon Borough Council,local-authority,local-authority:SWD,https://www.swindon.gov.uk
329,London Borough of Southwark,local-authority,local-authority:SWK,https://www.southwark.gov.uk
330,Swale Borough Council,local-authority,local-authority:SWL,https://www.swale.gov.uk
331,Somerset West and Taunton Council,local-authority,local-authority:SWT,https://www.somersetwestandtaunton.gov.uk
332,Tameside Metropolitan Borough Council,local-authority,local-authority:TAM,https://www.tameside.gov.uk
333,Tandridge District Council,local-authority,local-authority:TAN,https://www.tandridge.gov.uk
334,Taunton Deane Borough Council,local-authority,local-authority:TAU,https://www.tauntondeane.gov.uk
335,Tamworth Borough Council,local-authority,local-authority:TAW,https://www.tamworth.gov.uk
336,Teignbridge District Council,local-authority,local-authority:TEI,https://www.teignbridge.gov.uk
337,Tendring District Council,local-authority,local-authority:TEN,https://www.tendringdc.gov.uk
338,Test Valley Borough Council,local-authority,local-authority:TES,https://www.testvalley.gov.uk
339,Tewkesbury Borough Council,local-authority,local-authority:TEW,https://tewkesbury.gov.uk
340,Telford & Wrekin Council,local-authority,local-authority:TFW,https://www.telford.gov.uk
341,Thanet District Council,local-authority,local-authority:THA,https://thanet.gov.uk
342,Three Rivers District Council,local-authority,local-authority:THE,https://www.threerivers.gov.uk
343,Thurrock Council,local-authority,local-authority:THR,https://www.thurrock.gov.uk
344,Torbay Council,local-authority,local-authority:TOB,https://www.torbay.gov.uk
345,Tonbridge and Malling Borough Council,local-authority,local-authority:TON,https://www.tmbc.gov.uk
346,Torridge District Council,local-authority,local-authority:TOR,https://www.torridge.gov.uk
347,Trafford Metropolitan Borough Council,local-authority,local-authority:TRF,https://www.trafford.gov.uk
348,Tunbridge Wells Borough Council,local-authority,local-authority:TUN,https://www.tunbridgewells.gov.uk
349,Tees Valley Combined Authority,local-authority,local-authority:TVCA,https://teesvalley-ca.gov.uk
350,London Borough of Tower Hamlets,local-authority,local-authority:TWH,https://www.towerhamlets.gov.uk
351,Uttlesford District Council,local-authority,local-authority:UTT,https://www.uttlesford.gov.uk
352,Vale of White Horse District Council,local-authority,local-authority:VAL,https://www.whitehorsedc.gov.uk
353,Waverley Borough Council,local-authority,local-authority:WAE,https://www.waverley.gov.uk/
354,Warwickshire County Council,local-authority,local-authority:WAR,https://www.warwickshire.gov.uk
355,Watford Borough Council,local-authority,local-authority:WAT,https://www.watford.gov.uk
356,Waveney District Council,local-authority,local-authority:WAV,https://www.waveney.gov.uk
357,Warwick District Council,local-authority,local-authority:WAW,https://www.warwickdc.gov.uk
358,West Berkshire Council,local-authority,local-authority:WBK,https://www.westberks.gov.uk
359,West Devon Borough Council,local-authority,local-authority:WDE,https://www.westdevon.gov.uk
360,West Dorset District Council,local-authority,local-authority:WDO,https://www.dorsetforyou.com
361,Wealden District Council,local-authority,local-authority:WEA,https://www.wealden.gov.uk
362,West of England Combined Authority,local-authority,local-authority:WECA,https://www.westofengland-ca.gov.uk
363,Wellingborough Borough Council,local-authority,local-authority:WEL,https://www.wellingborough.gov.uk
364,Welwyn Hatfield Borough Council,local-authority,local-authority:WEW,https://www.welhat.gov.uk
365,Weymouth and Portland Borough Council,local-authority,local-authority:WEY,https://www.dorsetforyou.com
366,London Borough of Waltham Forest,local-authority,local-authority:WFT,https://www.walthamforest.gov.uk/
10001,Westmorland and Furness Council,local-authority,local-authority:WFUA,https://www.westmorlandandfurness.gov.uk/
367,Wigan Metropolitan Borough Council,local-authority,local-authority:WGN,https://www.wigan.gov.uk
368,Wiltshire Council,local-authority,local-authority:WIL,https://wiltshire.gov.uk
369,Winchester City Council,local-authority,local-authority:WIN,https://www.winchester.gov.uk
370,Wakefield Metropolitan District Council,local-authority,local-authority:WKF,https://www.wakefield.gov.uk
371,West Lancashire Borough Council,local-authority,local-authority:WLA,https://www.westlancs.gov.uk
372,West Lindsey District Council,local-authority,local-authority:WLI,https://www.west-lindsey.gov.uk
373,Walsall Metropolitan Borough Council,local-authority,local-authority:WLL,https://www.walsall.gov.uk
374,City of Wolverhampton Council,local-authority,local-authority:WLV,https://www.wolverhampton.gov.uk
375,West Midlands Combined Authority,local-authority,local-authority:WMCA,https://www.wmca.org.uk
376,London Borough of Wandsworth,local-authority,local-authority:WND,https://www.wandsworth.gov.uk
377,Royal Borough of Windsor and Maidenhead,local-authority,local-authority:WNM,https://www.rbwm.gov.uk/
501909,West Northamtonshire Council,local-authority,local-authority:WNUA,https://www.westnorthants.gov.uk/
378,Worcester City Council,local-authority,local-authority:WOC,https://www.worcester.gov.uk
379,Woking Borough Council,local-authority,local-authority:WOI,https://www.woking.gov.uk
380,Wokingham Borough Council,local-authority,local-authority:WOK,https://www.wokingham.gov.uk
381,Worcestershire County Council,local-authority,local-authority:WOR,https://www.worcestershire.gov.uk
382,Worthing Borough Council,local-authority,local-authority:WOT,https://www.adur-worthing.gov.uk
383,West Oxfordshire District Council,local-authority,local-authority:WOX,https://www.westoxon.gov.uk
384,Wirral Borough Council,local-authority,local-authority:WRL,https://www.wirral.gov.uk
385,Warrington Borough Council,local-authority,local-authority:WRT,https://www.warrington.gov.uk
386,West Suffolk Council,local-authority,local-authority:WSK,https://www.westsuffolk.gov.uk
387,City of Westminster,local-authority,local-authority:WSM,https://www.westminster.gov.uk
388,West Somerset District Council,local-authority,local-authority:WSO,https://www.westsomersetonline.gov.uk
389,West Sussex County Council,local-authority,local-authority:WSX,https://www.westsussex.gov.uk
390,Wychavon District Council,local-authority,local-authority:WYC,https://www.wychavon.gov.uk
391,West Yorkshire Combined Authority,local-authority,local-authority:WYCA,https://www.westyorks-ca.gov.uk/
392,Wyre Forest District Council,local-authority,local-authority:WYE,https://www.wyreforestdc.gov.uk
393,Wycombe District Council,local-authority,local-authority:WYO,https://www.wycombe.gov.uk
394,Wyre Borough Council,local-authority,local-authority:WYR,https://www.wyre.gov.uk
395,City of York Council,local-authority,local-authority:YOR,https://www.york.gov.uk
396,South Downs National Park Authority,national-park-authority,national-park-authority:Q20198711,https://www.southdowns.gov.uk
397,Lake District National Park Authority,national-park-authority,national-park-authority:Q27159704,https://www.lakedistrict.gov.uk
398,Yorkshire Dales National Park Authority,national-park-authority,national-park-authority:Q27178932,https://www.yorkshiredales.org.uk
399,Broads Authority,national-park-authority,national-park-authority:Q4972284,http://www.broads-authority.gov.uk/broads-authority
400,Dartmoor National Park Authority,national-park-authority,national-park-authority:Q5225646,https://www.dartmoor.gov.uk
401,New Forest National Park Authority,national-park-authority,national-park-authority:Q72617158,https://www.newforestnpa.gov.uk
402,North York Moors National Park Authority,national-park-authority,national-park-authority:Q72617669,https://www.northyorkmoors.org.uk
403,Exmoor National Park Authority,national-park-authority,national-park-authority:Q72617784,https://www.exmoor-nationalpark.gov.uk
404,Northumberland National Park Authority,national-park-authority,national-park-authority:Q72617890,https://www.northumberlandnationalpark.org.uk
405,Peak District National Park Authority,national-park-authority,national-park-authority:Q72617988,https://www.peakdistrict.gov.uk
600008,Wikimedia Foundation,nonprofit,nonprofit:Q180,https://wikimediafoundation.org/
408,West Midlands Passenger Transport Executive,passenger-transport-executive,passenger-transport-executive:Q25171369,
15300000,Greater Manchester Passenger Transport Executive,passenger-transport-executive,passenger-transport-executive:Q54817549,
409,Merseytravel,passenger-transport-executive,passenger-transport-executive:Q6820591,http://www.merseytravel.gov.uk
410,Transport for London,passenger-transport-executive,passenger-transport-executive:Q682520,https://tfl.gov.uk/
411,South Yorkshire Passenger Transport Executive,passenger-transport-executive,passenger-transport-executive:Q7569004,http://www.sypte.co.uk/
412,Transport for Greater Manchester,passenger-transport-executive,passenger-transport-executive:Q7834921,http://www.tfgm.com/
413,Tyne and Wear Passenger Transport Executive,passenger-transport-executive,passenger-transport-executive:Q7860508,http://www.nexus.org.uk
414,Transport for West Midlands,passenger-transport-executive,passenger-transport-executive:Q7985947,https://www.tfwm.org.uk/
415,West Yorkshire Passenger Transport Executive,passenger-transport-executive,passenger-transport-executive:Q7987043,http://www.wymetro.com/
406,GeoPlace,public-authority,public-authority:Q5533909,https://www.geoplace.co.uk/
407,Lee Valley Regional Park Authority,regional-park-authority,regional-park-authority:Q6515400,https://www.leevalleypark.org.uk/
416,East London Waste Authority,waste-authority,waste-authority:Q20711950,http://www.recycleforyourcommunity.com
417,North London Waste Authority,waste-authority,waste-authority:Q20713477,http://nlwa.gov.uk/
418,West London Waste Authority,waste-authority,waste-authority:Q21921612,http://westlondonwaste.gov.uk
419,Western Riverside Waste Authority,waste-authority,waste-authority:Q21935501,http://www.wrwa.gov.uk/
420,Greater Manchester Waste Disposal Authority,waste-authority,waste-authority:Q5600652,http://www.gmwda.gov.uk/
